Size,Type,Algorithm,Time_microseconds
9200,Reverse Sorted,Hybrid Merge+Insertion Sort,5793
9200,Nearly Sorted,Standard Merge Sort,27280
9200,Nearly Sorted,Hybrid Merge+Insertion Sort,6335
9300,Random,Standard Merge Sort,21171
9300,Random,Hybrid Merge+Insertion Sort,6722
9300,Reverse Sorted,Standard Merge Sort,19855
9300,Reverse Sorted,Hybrid Merge+Insertion Sort,5063
9300,Nearly Sorted,Standard Merge Sort,20635
9300,Nearly Sorted,Hybrid Merge+Insertion Sort,4818
9400,Random,Standard Merge Sort,21132
9400,Random,Hybrid Merge+Insertion Sort,6230
9400,Reverse Sorted,Standard Merge Sort,20150
9400,Reverse Sorted,Hybrid Merge+Insertion Sort,5043
9400,Nearly Sorted,Standard Merge Sort,39182
9400,Nearly Sorted,Hybrid Merge+Insertion Sort,4984
9500,Random,Standard Merge Sort,21400
9500,Random,Hybrid Merge+Insertion Sort,6326
9500,Reverse Sorted,Standard Merge Sort,20518
9500,Reverse Sorted,Hybrid Merge+Insertion Sort,5328
9500,Nearly Sorted,Standard Merge Sort,20408
9500,Nearly Sorted,Hybrid Merge+Insertion Sort,4890
9600,Random,Standard Merge Sort,21643
9600,Random,Hybrid Merge+Insertion Sort,6259
9600,Reverse Sorted,Standard Merge Sort,19921
9600,Reverse Sorted,Hybrid Merge+Insertion Sort,5643
9600,Nearly Sorted,Standard Merge Sort,21012
9600,Nearly Sorted,Hybrid Merge+Insertion Sort,4970
9700,Random,Standard Merge Sort,22175
9700,Random,Hybrid Merge+Insertion Sort,6188
9700,Reverse Sorted,Standard Merge Sort,20792
9700,Reverse Sorted,Hybrid Merge+Insertion Sort,5824
9700,Nearly Sorted,Standard Merge Sort,20531
9700,Nearly Sorted,Hybrid Merge+Insertion Sort,4987
9800,Random,Standard Merge Sort,22061
9800,Random,Hybrid Merge+Insertion Sort,6222
9800,Reverse Sorted,Standard Merge Sort,20332
9800,Reverse Sorted,Hybrid Merge+Insertion Sort,5417
9800,Nearly Sorted,Standard Merge Sort,21064
9800,Nearly Sorted,Hybrid Merge+Insertion Sort,5754
9900,Random,Standard Merge Sort,22222
9900,Random,Hybrid Merge+Insertion Sort,6285
9900,Reverse Sorted,Standard Merge Sort,22857
9900,Reverse Sorted,Hybrid Merge+Insertion Sort,5255
9900,Nearly Sorted,Standard Merge Sort,22363
9900,Nearly Sorted,Hybrid Merge+Insertion Sort,5307
10000,Random,Standard Merge Sort,23443
10000,Random,Hybrid Merge+Insertion Sort,6327
10000,Reverse Sorted,Standard Merge Sort,21646
10000,Reverse Sorted,Hybrid Merge+Insertion Sort,5702
10000,Nearly Sorted,Standard Merge Sort,21923
10000,Nearly Sorted,Hybrid Merge+Insertion Sort,5080
