Size,Type,Algorithm,Time_microseconds
2200,Nearly Sorted,Hybrid Merge+Insertion Sort,1054
2300,Random,Standard Merge Sort,5411
2300,Random,Hybrid Merge+Insertion Sort,1363
2300,Reverse Sorted,Standard Merge Sort,4748
2300,Reverse Sorted,Hybrid Merge+Insertion Sort,1158
2300,Nearly Sorted,Standard Merge Sort,4782
2300,Nearly Sorted,Hybrid Merge+Insertion Sort,1094
2400,Random,Standard Merge Sort,5376
2400,Random,Hybrid Merge+Insertion Sort,1377
2400,Reverse Sorted,Standard Merge Sort,5312
2400,Reverse Sorted,Hybrid Merge+Insertion Sort,1196
2400,Nearly Sorted,Standard Merge Sort,5122
2400,Nearly Sorted,Hybrid Merge+Insertion Sort,1086
2500,Random,Standard Merge Sort,5340
2500,Random,Hybrid Merge+Insertion Sort,1400
2500,Reverse Sorted,Standard Merge Sort,5030
2500,Reverse Sorted,Hybrid Merge+Insertion Sort,1197
2500,Nearly Sorted,Standard Merge Sort,6132
2500,Nearly Sorted,Hybrid Merge+Insertion Sort,1170
2600,Random,Standard Merge Sort,5953
2600,Random,Hybrid Merge+Insertion Sort,1805
2600,Reverse Sorted,Standard Merge Sort,7033
2600,Reverse Sorted,Hybrid Merge+Insertion Sort,1525
2600,Nearly Sorted,Standard Merge Sort,5836
2600,Nearly Sorted,Hybrid Merge+Insertion Sort,1316
2700,Random,Standard Merge Sort,7167
2700,Random,Hybrid Merge+Insertion Sort,1931
2700,Reverse Sorted,Standard Merge Sort,7022
2700,Reverse Sorted,Hybrid Merge+Insertion Sort,1676
2700,Nearly Sorted,Standard Merge Sort,6964
2700,Nearly Sorted,Hybrid Merge+Insertion Sort,1470
2800,Random,Standard Merge Sort,7649
2800,Random,Hybrid Merge+Insertion Sort,2173
2800,Reverse Sorted,Standard Merge Sort,7747
2800,Reverse Sorted,Hybrid Merge+Insertion Sort,1809
2800,Nearly Sorted,Standard Merge Sort,7586
2800,Nearly Sorted,Hybrid Merge+Insertion Sort,1550
2900,Random,Standard Merge Sort,7492
2900,Random,Hybrid Merge+Insertion Sort,1567
2900,Reverse Sorted,Standard Merge Sort,6280
2900,Reverse Sorted,Hybrid Merge+Insertion Sort,1351
2900,Nearly Sorted,Standard Merge Sort,5960
2900,Nearly Sorted,Hybrid Merge+Insertion Sort,1219
3000,Random,Standard Merge Sort,6827
3000,Random,Hybrid Merge+Insertion Sort,1676
3000,Reverse Sorted,Standard Merge Sort,7350
3000,Reverse Sorted,Hybrid Merge+Insertion Sort,3600
3000,Nearly Sorted,Standard Merge Sort,8912
3000,Nearly Sorted,Hybrid Merge+Insertion Sort,2065
3100,Random,Standard Merge Sort,10166
3100,Random,Hybrid Merge+Insertion Sort,2236
3100,Reverse Sorted,Standard Merge Sort,9961
3100,Reverse Sorted,Hybrid Merge+Insertion Sort,2119
3100,Nearly Sorted,Standard Merge Sort,8636
3100,Nearly Sorted,Hybrid Merge+Insertion Sort,1576
3200,Random,Standard Merge Sort,9073
3200,Random,Hybrid Merge+Insertion Sort,2256
3200,Reverse Sorted,Standard Merge Sort,9573
3200,Reverse Sorted,Hybrid Merge+Insertion Sort,2037
3200,Nearly Sorted,Standard Merge Sort,8736
3200,Nearly Sorted,Hybrid Merge+Insertion Sort,1682
3300,Random,Standard Merge Sort,8903
3300,Random,Hybrid Merge+Insertion Sort,2525
3300,Reverse Sorted,Standard Merge Sort,8331
